backbone,label,precision,recall,f1,support
resnet50,akiec,0.4225352112676056,0.5769230769230769,0.4878048780487805,52
resnet50,bcc,0.3823529411764705,0.5492957746478874,0.4508670520231214,71
resnet50,bkl,0.4715025906735751,0.5449101796407185,0.5055555555555555,167
resnet50,df,0.2142857142857142,0.3,0.25,20
resnet50,nv,0.9260115606936417,0.797808764940239,0.8571428571428571,1004
resnet50,mel,0.397196261682243,0.5089820359281437,0.4461942257217848,167
resnet50,vasc,0.6206896551724138,0.8571428571428571,0.72,21
mobilenet_v2,akiec,0.375,0.2884615384615384,0.3260869565217391,52
mobilenet_v2,bcc,0.3793103448275862,0.6197183098591549,0.4705882352941176,71
mobilenet_v2,bkl,0.4,0.5029940119760479,0.4456233421750663,167
mobilenet_v2,df,0.3157894736842105,0.3,0.3076923076923077,20
mobilenet_v2,nv,0.9205378973105136,0.75,0.8265642151481888,1004
mobilenet_v2,mel,0.3272727272727272,0.5389221556886228,0.4072398190045249,167
mobilenet_v2,vasc,0.4583333333333333,0.5238095238095238,0.4888888888888889,21
efficientnet_b0,akiec,0.3277310924369748,0.75,0.4561403508771929,52
efficientnet_b0,bcc,0.4555555555555555,0.5774647887323944,0.5093167701863354,71
efficientnet_b0,bkl,0.4469273743016759,0.4790419161676646,0.4624277456647399,167
efficientnet_b0,df,0.1578947368421052,0.15,0.1538461538461538,20
efficientnet_b0,nv,0.9362980769230768,0.7758964143426295,0.8485838779956427,1004
efficientnet_b0,mel,0.375,0.5568862275449101,0.4481927710843373,167
efficientnet_b0,vasc,0.8,0.5714285714285714,0.6666666666666666,21
